"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2004","1,100.00","1,100.00","1,100.00","1,100.00","","21.15%"
"04/01/2004","908.00","908.00","908.00","908.00","","-12.86%"
"03/01/2004","1,042.00","1,042.00","1,042.00","1,042.00","","-29.07%"
"02/01/2004","1,469.00","1,469.00","1,469.00","1,469.00","","10.70%"
"01/01/2004","1,327.00","1,327.00","1,327.00","1,327.00","","20.75%"
"12/01/2003","1,099.00","1,099.00","1,099.00","1,099.00","","10.90%"
"11/01/2003","991.00","991.00","991.00","991.00","","17.98%"
"10/01/2003","840.00","840.00","840.00","840.00","","-5.41%"
"09/01/2003","888.00","888.00","888.00","888.00","","-15.35%"
"08/01/2003","1,049.00","1,049.00","1,049.00","1,049.00","","-4.20%"
"07/01/2003","1,095.00","1,095.00","1,095.00","1,095.00","","25.29%"
"06/01/2003","874.00","874.00","874.00","874.00","","-4.79%"
"05/01/2003","918.00","918.00","918.00","918.00","","-20.38%"
"04/01/2003","1,153.00","1,153.00","1,153.00","1,153.00","","-19.99%"
"03/01/2003","1,441.00","1,441.00","1,441.00","1,441.00","","21.81%"
"02/01/2003","1,183.00","1,183.00","1,183.00","1,183.00","","11.50%"
"01/01/2003","1,061.00","1,061.00","1,061.00","1,061.00","","2.71%"
"12/01/2002","1,033.00","1,033.00","1,033.00","1,033.00","","16.59%"
"11/01/2002","886.00","886.00","886.00","886.00","","22.88%"
"10/01/2002","721.00","721.00","721.00","721.00","","5.56%"
"09/01/2002","683.00","683.00","683.00","683.00","","-6.18%"
"08/01/2002","728.00","728.00","728.00","728.00","","-1.89%"
"07/01/2002","742.00","742.00","742.00","742.00","","1.23%"
"06/01/2002","733.00","733.00","733.00","733.00","","-0.41%"
